x,y,t0,t1,Nx,Ny
0.0000000000,0.0000000000,0.0000000000,0.0007229550,0.0144590998,0.0144564865
0.0144590998,0.0144564865,0.0007229550,0.0017053071,0.0341061428,0.0340916024
0.0341061428,0.0340916024,0.0017053071,0.0026283631,0.0525672611,0.0525327196
0.0525672611,0.0525327196,0.0026283631,0.0032577680,0.0651553600,0.0651022947
0.0651553600,0.0651022947,0.0032577680,0.0038995471,0.0779909419,0.0779149096
0.0779909419,0.0779149096,0.0038995471,0.0041541036,0.0830820723,0.0829957894
0.0830820723,0.0829957894,0.0041541036,0.0048658810,0.0973176193,0.0971992354
0.0973176193,0.0971992354,0.0048658810,0.0056658407,0.1133168140,0.1131563053
0.1133168140,0.1131563053,0.0056658407,0.0059573720,0.1191474408,0.1189699894
0.1191474408,0.1189699894,0.0059573720,0.0065043409,0.1300868188,0.1298752865
0.1300868188,0.1298752865,0.0065043409,0.0066579481,0.1331589629,0.1329373216
0.1331589629,0.1329373216,0.0066579481,0.0069087570,0.1381751401,0.1379364855
0.1381751401,0.1379364855,0.0069087570,0.0075997966,0.1519959316,0.1517071471
0.1519959316,0.1517071471,0.0075997966,0.0078460393,0.1569207853,0.1566129837
0.1569207853,0.1566129837,0.0078460393,0.0081335794,0.1626715872,0.1623408117
0.1626715872,0.1623408117,0.0081335794,0.0082074695,0.1641493908,0.1638125780
0.1641493908,0.1638125780,0.0082074695,0.0091903434,0.1838068681,0.1833845561
0.1838068681,0.1833845561,0.0091903434,0.0099538726,0.1990774523,0.1985820544
0.1990774523,0.1985820544,0.0099538726,0.0101735637,0.2034712750,0.2029537680
0.2034712750,0.2029537680,0.0101735637,0.0110055857,0.2201117146,0.2195061001
0.2201117146,0.2195061001,0.0110055857,0.0114976797,0.2299535942,0.2292926110
0.2299535942,0.2292926110,0.0114976797,0.0118498117,0.2369962343,0.2362941441
0.2369962343,0.2362941441,0.0118498117,0.0127716615,0.2554332301,0.2546176534
0.2554332301,0.2546176534,0.0127716615,0.0130402889,0.2608057788,0.2599555331
0.2608057788,0.2599555331,0.0130402889,0.0135158059,0.2703161186,0.2694027336
0.2703161186,0.2694027336,0.0135158059,0.0143985707,0.2879714140,0.2869348198
0.2879714140,0.2869348198,0.0143985707,0.0146925520,0.2938510397,0.2927716843
0.2938510397,0.2927716843,0.0146925520,0.0147131972,0.2942639432,0.2931815523
0.2942639432,0.2931815523,0.0147131972,0.0151455813,0.3029116261,0.3017646829
0.3029116261,0.3017646829,0.0151455813,0.0153303849,0.3066076972,0.3054325937
0.3066076972,0.3054325937,0.0153303849,0.0161414656,0.3228293126,0.3215265780
0.3228293126,0.3215265780,0.0161414656,0.0164271035,0.3285420692,0.3271928205
0.3285420692,0.3271928205,0.0164271035,0.0165276435,0.3305528695,0.3291870545
0.3305528695,0.3291870545,0.0165276435,0.0175083700,0.3501674008,0.3486346857
0.3501674008,0.3486346857,0.0175083700,0.0178965333,0.3579306656,0.3563292361
0.3579306656,0.3563292361,0.0178965333,0.0188070287,0.3761405738,0.3743720521
0.3761405738,0.3743720521,0.0188070287,0.0193809275,0.3876185504,0.3857404487
0.3876185504,0.3857404487,0.0193809275,0.0197184257,0.3943685147,0.3924244331
0.3943685147,0.3924244331,0.0197184257,0.0200047916,0.4000958322,0.3980948738
0.4000958322,0.3980948738,0.0200047916,0.0204347312,0.4086946237,0.4066067325
0.4086946237,0.4066067325,0.0204347312,0.0212245566,0.4244911314,0.4222387224
0.4244911314,0.4222387224,0.0212245566,0.0218014884,0.4360297689,0.4336532444
0.4360297689,0.4336532444,0.0218014884,0.0225364430,0.4507288602,0.4481894039
0.4507288602,0.4481894039,0.0225364430,0.0225627500,0.4512550005,0.4487096121
0.4512550005,0.4487096121,0.0225627500,0.0226464417,0.4529288344,0.4503645278
0.4529288344,0.4503645278,0.0226464417,0.0235590436,0.4711808726,0.4684057299
0.4711808726,0.4684057299,0.0235590436,0.0241881981,0.4837639625,0.4808386178
0.4837639625,0.4808386178,0.0241881981,0.0244608527,0.4892170539,0.4862253873
0.4892170539,0.4862253873,0.0244608527,0.0249501048,0.4990020964,0.4958895577
0.4990020964,0.4958895577,0.0249501048,0.0255735537,0.5114710733,0.5082010401
0.5114710733,0.5082010401,0.0255735537,0.0264684677,0.5293693548,0.5258664559
0.5293693548,0.5258664559,0.0264684677,0.0274177820,0.5483556393,0.5445969655
0.5483556393,0.5445969655,0.0274177820,0.0274939545,0.5498790906,0.5460995029
0.5498790906,0.5460995029,0.0274939545,0.0280672732,0.5613454631,0.5574066040
0.5613454631,0.5574066040,0.0280672732,0.0281047043,0.5620940866,0.5581447146
0.5620940866,0.5581447146,0.0281047043,0.0285823722,0.5716474446,0.5675626846
0.5716474446,0.5675626846,0.0285823722,0.0291438258,0.5828765170,0.5786297041
0.5828765170,0.5786297041,0.0291438258,0.0299015984,0.5980319684,0.5935614404
0.5980319684,0.5935614404,0.0299015984,0.0307781609,0.6155632184,0.6108267425
0.6155632184,0.6108267425,0.0307781609,0.0312908597,0.6258171932,0.6209216037
0.6258171932,0.6209216037,0.0312908597,0.0312919184,0.6258383684,0.6209424476
0.6258383684,0.6209424476,0.0312919184,0.0317001303,0.6340026062,0.6289781149
0.6340026062,0.6289781149,0.0317001303,0.0323908940,0.6478178804,0.6425720303
0.6478178804,0.6425720303,0.0323908940,0.0323944612,0.6478892241,0.6426422185
0.6478892241,0.6426422185,0.0323944612,0.0330718432,0.6614368641,0.6559681300
0.6614368641,0.6559681300,0.0330718432,0.0335271675,0.6705433499,0.6649229951
0.6705433499,0.6649229951,0.0335271675,0.0343085413,0.6861708251,0.6802854450
0.6861708251,0.6802854450,0.0343085413,0.0352453836,0.7049076729,0.6986964875
0.7049076729,0.6986964875,0.0352453836,0.0355407353,0.7108147066,0.7044989873
0.7108147066,0.7044989873,0.0355407353,0.0364402178,0.7288043566,0.7221649092
0.7288043566,0.7221649092,0.0364402178,0.0371175176,0.7423503511,0.7354618006
0.7423503511,0.7354618006,0.0371175176,0.0376291439,0.7525828777,0.7455031153
0.7525828777,0.7455031153,0.0376291439,0.0376820341,0.7536406828,0.7465410043
0.7536406828,0.7465410043,0.0376820341,0.0380680789,0.7613615773,0.7541156841
0.7613615773,0.7541156841,0.0380680789,0.0381261117,0.7625222340,0.7552542320
0.7625222340,0.7552542320,0.0381261117,0.0388985604,0.7779712084,0.7704057184
0.7779712084,0.7704057184,0.0388985604,0.0393608399,0.7872167983,0.7794704197
0.7872167983,0.7794704197,0.0393608399,0.0399183275,0.7983665501,0.7903991858
0.7983665501,0.7903991858,0.0399183275,0.0400275937,0.8005518738,0.7925408325
0.8005518738,0.7925408325,0.0400275937,0.0409827516,0.8196550318,0.8112571022
0.8196550318,0.8112571022,0.0409827516,0.0410989771,0.8219795412,0.8135339116
0.8219795412,0.8135339116,0.0410989771,0.0412966133,0.8259322664,0.8174052151
0.8259322664,0.8174052151,0.0412966133,0.0413378823,0.8267576464,0.8182135439
0.8267576464,0.8182135439,0.0413378823,0.0416004351,0.8320087025,0.8233557215
0.8320087025,0.8233557215,0.0416004351,0.0422237402,0.8444748049,0.8355605837
0.8444748049,0.8355605837,0.0422237402,0.0430458029,0.8609160583,0.8516513526
0.8609160583,0.8516513526,0.0430458029,0.0439989283,0.8799785670,0.8702990385
0.8799785670,0.8702990385,0.0439989283,0.0441639938,0.8832798757,0.8735275839
0.8832798757,0.8735275839,0.0441639938,0.0444768629,0.8895372583,0.8796463016
0.8895372583,0.8796463016,0.0444768629,0.0450384291,0.9007685817,0.8906262812
0.9007685817,0.8906262812,0.0450384291,0.0451066870,0.9021337394,0.8919606733
0.9021337394,0.8919606733,0.0451066870,0.0455133291,0.9102665828,0.8999092672
0.9102665828,0.8999092672,0.0455133291,0.0464664188,0.9293283765,0.9185327361
0.9293283765,0.9185327361,0.0464664188,0.0471308269,0.9426165377,0.9315099635
0.9426165377,0.9315099635,0.0471308269,0.0480929922,0.9618598446,0.9502951651
0.9618598446,0.9502951651,0.0480929922,0.0486605269,0.9732105382,0.9613713038
0.9732105382,0.9613713038,0.0486605269,0.0489991154,0.9799823089,0.9679777423
